order_id,date,time
1,2016-01-01,11H 38M 36S
2,2016-01-01,00:00 AM
3,2016-11-30,12:12 PM
4,2016-01-01,12:16:31
5,2016-01-01,00:00 AM
6,2016-01-01,12:29:36
7,2016-01-01,12:50 PM
8,2016-01-01,12:51 PM
9,2016-01-01,12:52:01
10,2016-01-18,13:00 PM
11,2016-05-03,13:02:59
12,2016-04-22,13:04:41
13,2016-01-01,13:11:55
14,2016-01-01,13H 14M 19S
15,2016-01-01,13:33 PM
16,2016-01-01,00H 00M 00S
17,2016-01-01,00H 00M 00S
18,2016-01-01,00:00:00
19,2016-01-01,13:59 PM
20,2016-01-01,00:00:00
21,2016-01-01,14:14:29
22,2016-01-01,14H 16M 26S
23,2016-01-01,00:00 AM
24,2016-01-01,14:23 PM
25,2016-01-01,14:44 PM
26,2016-01-01,14H 54M 26S
27,2016-01-01,15:11 PM
28,2016-01-01,15:35 PM
29,2016-01-01,15H 41M 01S
30,2016-01-01,00:00 AM
31,2016-01-01,00:00 AM
32,2016-01-01,15:53:18
33,2016-07-03,15H 54M 08S
34,2016-01-01,00H 00M 00S
35,2016-01-01,16:32 PM
37,2016-01-01,16:56:09
39,2016-01-01,17H 07M 23S
40,2016-01-01,00:00 AM
41,2016-01-01,17:15 PM
42,2016-01-01,17:28:09
43,2016-01-01,17:38 PM
45,2016-01-01,00:00:00
46,2016-01-01,18:25 PM
47,2016-01-01,18H 26M 34S
48,2016-04-20,18:26 PM
49,2016-01-01,18:33 PM
50,2016-01-01,18H 41M 01S
52,2016-01-01,18H 53M 02S
53,2016-01-01,18:54:17
54,2016-01-01,19:01 PM
55,2016-01-01,19:03:19
56,2016-01-01,19:07:00
57,2016-01-01,19H 10M 51S
58,2016-01-01,19H 30M 40S
59,2016-01-01,19:40:08
60,2016-01-01,20H 05M 16S
61,2016-01-01,20:08:43
62,2016-01-01,20H 50M 16S
63,2016-01-01,20:51:42
64,2016-01-01,20H 52M 08S
65,2016-01-01,21:16 PM
66,2016-01-01,21:47:55
67,2016-01-01,22H 03M 40S
68,2016-01-01,22:07:32
69,2016-01-01,00H 00M 00S
70,2016-01-02,11:38:51
71,2016-01-02,11:40:50
72,2016-01-02,11:57 AM
73,2016-01-02,11H 58M 56S
74,2016-02-01,00H 00M 00S
75,2016-01-02,12H 10M 15S
76,2016-01-02,12:21:17
77,2016-01-02,12:22 PM
78,2016-01-02,12H 28M 14S
79,2016-02-01,00:00:00
80,2016-01-02,12:35:38
81,2016-01-02,12:40 PM
82,2016-01-02,12:45:51
83,2016-01-02,12H 53M 27S
84,2016-01-02,13H 13M 41S
85,2016-01-02,13:34 PM
86,2016-01-02,13:40 PM
87,2016-02-01,00:00:00
89,2016-01-02,14:30:19
90,2016-01-02,15:08 PM
91,2016-01-02,15:14:43
92,2016-02-01,00:00 AM
93,2016-01-02,15H 29M 31S
95,2016-01-02,16:18:04
96,2016-01-02,16:21 PM
99,2016-02-01,00:00 AM
100,2016-08-29,00H 00M 00S
101,2016-01-02,17:51:33
102,2016-02-01,00:00 AM
103,2016-02-01,00H 00M 00S
104,2016-01-02,18:02 PM
105,2016-01-02,18:12:01
106,2016-01-02,18H 12M 13S
107,2016-01-02,18H 25M 09S
108,2016-06-23,18:25:25
109,2016-01-02,18:27:50
110,2016-01-02,18H 36M 19S
111,2016-01-02,18:38:01
112,2016-02-01,00H 00M 00S
113,2016-01-02,18H 50M 21S
114,2016-02-01,00:00:00
115,2016-01-02,19:05:17
116,2016-01-02,19H 18M 49S
117,2016-01-02,19:23:02
119,2016-01-02,19H 32M 29S
120,2016-01-02,19:35:07
121,2016-01-02,19:38:48
122,2016-01-02,19:50 PM
123,2016-01-02,20:12 PM
124,2016-01-02,20:12:34
125,2016-01-02,20:31:06
126,2016-01-02,20H 53M 42S
127,2016-02-01,00:00 AM
128,2016-01-02,21H 05M 06S
129,2016-01-02,21:13 PM
130,2016-01-02,21H 14M 55S
131,2016-11-06,21:33:10
132,2016-01-02,21:42:45
133,2016-01-02,22:00:17
134,2016-01-02,22H 13M 24S
137,2016-01-03,11:34:10
138,2016-01-03,11:44 AM
139,2016-03-01,00:00:00
140,2016-01-03,12H 26M 44S
141,2016-01-03,13H 16M 01S
142,2016-01-03,13H 33M 59S
143,2016-12-24,13:41 PM
144,2016-01-03,13:44 PM
145,2016-03-01,00H 00M 00S
146,2016-01-03,14:22 PM
147,2016-01-03,14:32:51
149,2016-01-03,14:48:45
150,2016-03-01,00:00 AM
151,2016-01-03,15:09 PM
153,2016-01-03,15H 16M 34S
154,2016-01-03,15:22:43
155,2016-01-03,15:28 PM
156,2016-01-03,15H 42M 19S
159,2016-01-03,15H 59M 22S
160,2016-04-27,16H 35M 33S
161,2016-01-03,16:43 PM
162,2016-03-01,00:00:00
163,2016-02-21,16:54:54
164,2016-01-03,16:56 PM
165,2016-01-03,16:57 PM
166,2016-01-03,16H 58M 51S
167,2016-03-01,00:00 AM
168,2016-01-03,17:02:27
170,2016-01-03,17:21 PM
171,2016-03-01,00:00:00
172,2016-01-03,17H 29M 24S
174,2016-01-03,17:37 PM
175,2016-03-01,00:00 AM
176,2016-04-24,17H 51M 57S
177,2016-09-13,17H 54M 36S
178,2016-01-03,18:15:03
179,2016-01-03,18H 20M 14S
180,2016-01-03,18:33 PM
181,2016-01-20,18:49:32
182,2016-01-03,18:50:10
183,2016-04-28,18H 54M 55S
184,2016-01-03,18:59 PM
185,2016-03-01,00:00 AM
186,2016-01-03,19:36 PM
187,2016-01-03,19:37 PM
188,2016-01-03,20H 08M 39S
189,2016-01-03,20:12 PM
190,2016-01-03,20:14 PM
191,2016-03-23,20:24:50
192,2016-01-03,20H 30M 08S
193,2016-03-01,00H 00M 00S
194,2016-01-03,21H 21M 24S
195,2016-03-01,00:00:00
196,2016-01-03,21:40 PM
197,2016-01-03,21:47 PM
198,2016-01-03,21H 55M 42S
199,2016-03-01,00:00 AM
201,2016-01-03,22:29 PM
202,2016-01-03,22H 50M 29S
203,2016-01-04,11:30 AM
204,2016-01-04,11:36 AM
205,2016-01-04,11H 43M 54S
206,2016-04-01,00H 00M 00S
207,2016-06-01,12:03:58
208,2016-01-04,12:12:05
209,2016-01-04,12H 29M 17S
210,2016-01-04,12:34:13
212,2016-01-04,13H 16M 03S
213,2016-01-04,13:20:39
215,2016-01-04,13:44:49
216,2016-04-01,00:00:00
217,2016-01-04,14H 35M 03S
218,2016-01-04,14:35 PM
219,2016-09-01,14:42 PM
220,2016-01-04,15:31 PM
222,2016-04-01,00:00:00
223,2016-01-04,16:08 PM
224,2016-01-04,16H 39M 58S
226,2016-01-04,16:59 PM
227,2016-01-04,17:24:39
228,2016-01-04,17H 31M 24S
229,2016-01-04,17:37 PM
230,2016-01-04,17:58:38
232,2016-09-30,00H 00M 00S
233,2016-01-04,18H 26M 51S
234,2016-01-04,18H 36M 09S
235,2016-04-01,00:00:00
236,2016-03-14,19H 21M 04S
237,2016-04-22,19:27:48
238,2016-04-01,00H 00M 00S
239,2016-01-04,19H 57M 52S
240,2016-04-01,00:00 AM
241,2016-01-04,20:11:25
242,2016-01-04,20:15:29
243,2016-04-01,00:00:00
244,2016-11-22,20:26 PM
245,2016-04-01,00H 00M 00S
246,2016-01-04,20:30 PM
248,2016-12-14,20:58:19
249,2016-01-04,21H 06M 16S
251,2016-01-04,21:10 PM
252,2016-01-04,22H 13M 15S
253,2016-01-07,22:16 PM
254,2016-04-01,00H 00M 00S
255,2016-01-05,11:23:35
256,2016-01-05,11:56:06
258,2016-01-05,11H 59M 23S
260,2016-01-05,12:06:27
261,2016-01-05,12:38:29
262,2016-01-05,12:42 PM
263,2016-01-05,12:57:22
264,2016-01-05,13:03:59
265,2016-01-05,13:04 PM
266,2016-01-05,13:09:29
267,2016-05-01,00:00 AM
268,2016-01-05,13:40:46
269,2016-01-05,13:49 PM
270,2016-05-01,00H 00M 00S
271,2016-01-05,14:22:19
272,2016-05-01,00:00:00
274,2016-01-05,14:36:33
276,2016-05-01,00:00:00
277,2016-01-05,15:41 PM
279,2016-01-05,16:07:03
280,2016-01-05,16:20:23
281,2016-01-05,16:33:48
282,2016-01-05,16H 49M 38S
283,2016-01-05,16:51:43
284,2016-01-05,16:58:16
285,2016-05-01,00H 00M 00S
286,2016-01-05,17:01 PM
